fare_amount,hour,day,month,year,dayofweek,distance_km
7.5,19,7,5,2015,3,1.6833228839391674
7.7,20,17,7,2009,4,2.4575898837790584
12.9,21,24,8,2009,0,5.036377190242993
5.3,8,26,6,2009,4,1.661683458435346
16.0,17,28,8,2014,3,4.475449963029145
9.7,9,17,2,2012,4,2.332711009340077
12.5,19,29,3,2012,3,4.889416888104932
6.5,17,22,5,2015,4,2.2508584707871426
3.3,14,17,5,2011,1,0.30225169336801644
10.9,11,25,6,2011,5,3.581250827378925
6.9,22,6,4,2010,1,1.309949900010888
9.7,9,21,2,2012,1,1.7162774216539223
4.9,9,1,9,2011,3,0.7299655487752681
10.5,23,19,3,2011,5,2.5159500721201353
12.0,8,25,3,2015,2,1.7903202669549625
4.9,0,8,8,2009,5,1.0347036107860215
10.5,14,18,2,2014,1,2.4902437611974397
5.0,23,3,3,2015,1,0.959469437308077
4.1,2,26,11,2009,3,1.2613880250405092
7.7,16,4,9,2010,5,1.751762582083585
9.5,17,12,2,2009,3,2.7361888046764697
5.0,6,21,1,2014,1,0.7232527134113774
12.0,17,21,11,2012,2,3.2294390767342174
4.9,20,6,5,2009,2,1.4295153219103565
7.3,2,24,12,2011,5,2.233696226233353
7.7,15,28,2,2009,5,1.8950465432768815
10.5,19,11,2,2013,0,1.9049327090314903
11.0,20,10,9,2013,1,3.1821134289666895
8.1,5,5,6,2009,4,2.9230196514159985
5.7,16,19,2,2011,5,1.2002121842415259
6.9,19,31,8,2011,2,2.6357871666991657
7.7,21,18,5,2010,1,2.253610790734642
15.7,14,1,4,2010,3,4.826526866189426
9.0,14,2,4,2014,2,1.2502909601091337
4.9,15,1,2,2011,1,0.7984731247764232
5.4,22,10,1,2009,5,0.8403949918797582
3.3,0,12,7,2012,3,0.3851987079578982
8.9,8,19,2,2009,3,2.434342813775855
17.0,14,16,1,2014,3,3.1279052128174074
12.0,9,4,1,2015,6,3.7346451107168157
13.5,10,23,5,2013,3,4.504354287331334
7.7,18,3,10,2009,5,1.557898697870051
13.3,13,15,8,2011,0,4.923153810340649
7.5,2,9,12,2012,6,1.822374033496422
16.9,11,9,4,2009,3,4.523566835042452
11.0,20,13,11,2014,3,4.071890589696228
6.5,22,5,3,2010,4,1.1746720856053612
6.5,14,9,1,2009,4,1.2923801933419812
5.3,1,10,7,2009,4,1.212319845132753
4.1,16,2,2,2009,0,0.8729704691968458
9.0,17,17,6,2015,2,2.107472321464057
6.5,6,22,6,2011,2,0.6855631370933565
5.5,19,2,1,2013,2,1.0321734773328322
8.5,11,16,2,2015,0,3.0962605869106548
7.5,20,1,2,2013,4,2.0680418322721756
6.9,10,20,5,2009,2,1.5086958059297724
4.1,20,28,6,2012,3,0.5099454931148029
5.7,1,10,12,2011,5,1.9072937584277756
12.0,9,15,4,2014,1,1.9571569688907504
11.3,20,5,4,2012,3,4.580221955927247
9.7,20,25,4,2010,6,4.247616454477531
4.9,19,2,5,2012,2,0.9043265972837276
11.0,13,28,5,2015,3,2.499145569683898
3.5,1,21,5,2015,3,0.4195750808117316
8.1,21,16,10,2010,5,4.741476721199142
7.7,10,8,9,2010,2,2.9443036554791675
5.3,18,5,4,2012,3,1.29803428136408
7.3,3,23,1,2010,5,1.805093407262824
6.5,18,15,2,2013,4,1.3540018764341188
5.3,18,12,8,2012,6,1.3985774606880699
9.3,12,12,3,2010,4,1.0855333061490562
3.7,11,14,4,2009,1,1.2560027307650972
4.0,13,27,4,2014,6,1.232283733752288
9.5,8,11,4,2015,5,2.177181728431067
4.5,20,3,10,2011,0,0.5913089720405789
3.3,3,26,4,2010,0,0.7059199000024249
9.0,18,19,2,2014,2,2.017540513110456
4.1,21,20,2,2011,6,0.573073660056064
6.5,9,31,7,2009,4,2.8005690771503544
8.0,22,4,12,2012,1,2.1514498437713505
6.0,1,21,4,2015,1,0.9853744516855277
4.0,18,3,5,2013,4,1.7056436942565265
3.7,21,30,3,2010,1,0.6325948765673487
10.1,17,7,3,2012,2,2.5205564409105996
5.7,18,4,2,2009,2,1.2902700094436983
6.5,15,10,6,2012,6,2.203897630066611
6.1,17,19,7,2012,3,1.3620067732512613
4.9,18,19,6,2011,6,0.8339951625071622
6.1,22,22,7,2011,4,2.3394783327850464
10.0,15,25,2,2013,0,1.7643864118751165
10.5,15,15,6,2014,6,3.2125544189204627
8.9,18,25,4,2012,2,1.9504871655301903
13.0,14,28,3,2013,3,2.3992142001337746
6.9,0,25,1,2012,2,1.4694752956436283
9.7,9,2,11,2009,0,1.9741320914557088
10.1,1,12,9,2009,5,3.7404332859766165
9.7,17,6,7,2011,2,2.176308356423864
5.3,12,21,9,2010,1,1.2195217297895897
5.7,6,14,1,2010,3,1.1528712807883033
7.5,5,10,11,2014,0,2.1234975190222865
10.5,16,10,9,2010,4,3.5739561434812805
6.1,18,24,11,2010,2,1.5678988052204392
6.5,22,4,4,2015,5,1.0121543348269544
7.7,13,4,1,2009,6,3.513300762627258
6.1,0,22,9,2010,2,1.7841960089986924
8.9,0,2,6,2009,1,3.6706908026919316
9.0,1,18,8,2013,6,3.7726588037335183
15.0,0,23,9,2014,1,5.060737421253155
15.0,21,14,1,2015,2,2.723182025057245
12.9,14,3,9,2009,3,4.715412929675451
7.5,20,21,4,2014,0,2.1793085139661055
9.5,19,6,4,2015,0,1.7086616733191078
5.3,12,13,9,2011,1,1.194761568353515
8.0,15,10,2,2015,1,1.639020361042458
11.3,11,1,12,2009,1,3.068556569666043
6.1,10,4,9,2009,4,1.3734111253733072
6.0,11,4,4,2015,5,1.0186474068681035
12.5,15,10,5,2013,4,3.6116913830772805
5.5,14,30,1,2013,2,0.9198258898455711
13.7,10,19,10,2011,2,3.5885400662829157
8.9,18,15,11,2010,0,3.446872405459663
4.0,5,10,2,2015,1,0.6774817714941636
4.9,17,24,5,2010,0,1.166553119026068
4.9,14,1,6,2010,1,0.8456285888431778
8.5,13,19,9,2012,2,1.4817276451362644
3.7,10,14,2,2011,0,0.5808098221202046
6.5,9,24,6,2014,1,1.4819598323636276
4.9,20,8,9,2009,1,0.9054237089063008
9.3,16,12,1,2012,3,2.622751278138737
6.5,19,29,1,2010,4,1.5240410906891921
8.2,20,26,1,2009,0,1.8947017168835905
11.0,20,30,5,2013,3,3.0793804818073816
4.5,7,8,6,2013,5,1.0665228872951436
9.0,2,19,4,2014,5,3.9076264526645863
5.0,20,14,10,2013,0,1.3238698966660256
7.3,8,26,6,2012,1,1.4225729965188323
9.5,2,26,2,2015,3,2.315974614790762
7.5,1,18,2,2015,2,1.659865223956459
7.7,0,13,11,2010,5,2.3359176696565336
9.7,21,26,5,2009,1,3.6193605104734807
15.0,19,16,1,2015,4,2.9547149057161075
8.0,22,16,5,2013,3,1.0581957667710864
13.7,19,6,10,2010,2,5.259919249140969
6.0,12,10,1,2015,5,0.951756977061514
7.7,21,17,6,2011,4,2.622029993009593
10.5,20,14,9,2011,2,3.654415743731093
7.5,20,25,3,2014,1,1.4099916100499852
11.5,19,25,2,2015,2,2.3731586157110303
4.5,20,2,3,2012,4,0.7459972944871451
8.1,20,5,5,2011,3,2.0370259456136766
14.5,10,25,1,2012,2,4.447406006287273
4.5,13,13,9,2011,1,1.1360583692724435
3.3,20,8,10,2011,5,0.4445689514859332
8.1,2,14,4,2012,5,2.9969270718325656
6.5,12,24,9,2010,4,1.688067448011129
14.5,1,28,5,2014,2,3.4192496693067502
10.5,20,7,8,2012,1,3.2391561174388093
8.9,16,24,9,2009,3,1.3160909366288265
6.1,7,22,3,2012,3,1.4034474302694753
7.3,10,22,4,2011,4,1.824872721636188
5.3,21,16,11,2009,0,1.1540963571485694
5.7,1,4,11,2011,4,1.8044550575732483
5.5,7,3,9,2013,1,1.0843249081369226
6.1,19,15,5,2010,5,1.1339623951629032
8.5,0,16,1,2011,6,3.066964359278188
4.1,16,26,5,2010,2,0.8447867799155021
8.0,17,1,5,2015,4,2.456726696268204
9.5,18,21,9,2013,5,1.9441256138107958
4.1,19,11,5,2009,0,0.7549453550521067
5.3,5,31,5,2009,6,1.7484707522992393
9.7,19,16,6,2010,2,4.615766467817089
8.9,21,3,3,2012,5,1.7514353057619276
9.5,14,19,12,2013,3,1.9070578257299124
6.0,10,19,3,2014,2,0.871757705720122
3.7,9,1,3,2009,6,0.880556214442957
4.9,22,2,6,2012,5,1.413640042391159
7.7,21,9,12,2011,4,2.1171027477391235
7.3,8,18,2,2009,2,2.39671024365281
4.1,22,11,10,2011,1,1.4288885401771423
7.0,22,20,8,2014,2,1.2696798985385738
9.7,21,15,11,2011,1,3.0761038049721825
4.5,13,2,2,2012,3,0.777775608999844
12.5,8,7,5,2015,3,4.524004727127715
7.3,21,3,3,2012,5,1.8316359286359332
4.0,18,9,10,2012,1,0.5878302580949272
7.7,16,25,1,2011,1,2.2670985319812025
8.0,6,10,11,2013,6,1.8301161468971017
6.5,14,12,8,2012,6,1.0320956657973224
11.5,21,31,1,2015,5,3.287276101515208
7.3,14,7,3,2009,5,2.530951382987497
7.3,6,31,3,2010,2,2.8207104232059947
14.1,15,8,6,2010,1,5.153351036635011
4.5,21,10,6,2012,6,1.0514542871063206
5.5,19,4,10,2014,5,0.9370334259812371
8.9,21,6,8,2009,3,4.007610196946171
15.0,22,5,3,2013,1,3.407789877391986
4.1,12,3,4,2012,1,0.9069638144588946
10.5,15,10,3,2015,1,3.1957149124811135
8.5,11,12,9,2012,2,1.8557486705164727
8.1,8,1,9,2011,3,1.7816872198424625
9.7,20,1,8,2009,5,3.289359671887909
4.9,15,30,9,2009,2,1.1102884923895697
8.0,9,12,12,2012,2,1.5305945609075045
13.7,9,8,3,2012,3,5.66928179929983
10.5,20,7,4,2015,1,2.0619487082932504
10.5,18,23,7,2009,3,2.964783112485213
12.0,11,18,9,2014,3,1.3743893002490146
5.0,1,13,9,2014,5,1.486785278047757
7.3,9,31,7,2010,5,2.6152526922663313
17.0,0,18,6,2014,2,5.307331879549929
7.0,22,10,9,2013,1,2.0551241660713675
7.3,20,14,2,2011,0,2.913771087044986
7.7,14,14,2,2010,6,2.2854304661671816
4.9,6,14,5,2012,0,1.132108278373785
13.0,20,4,11,2012,6,3.898058922265288
5.5,10,2,2,2014,6,1.348298591652233
5.7,15,11,3,2011,4,1.877849523053991
9.3,8,21,8,2012,1,2.708609004848477
6.5,19,15,5,2009,4,2.8496561952543886
5.0,7,15,4,2015,2,0.750225960097444
5.5,7,11,1,2013,4,0.8197157843135319
4.9,22,9,3,2010,1,0.637782306626292
7.5,12,3,11,2014,0,1.0740350063942044
4.9,18,20,3,2012,1,1.2700682831638979
9.5,11,24,2,2015,1,2.973399213761471
14.0,14,2,11,2014,6,3.011610632199808
6.1,12,26,3,2009,3,2.3117649660823187
7.5,7,16,5,2013,3,2.6167072506908484
12.5,10,3,9,2014,2,3.860553293826864
4.0,7,2,6,2015,1,0.8376642925084155
6.5,10,5,4,2009,6,2.2318535618662887
7.3,20,1,1,2010,4,2.1701298689184987
9.0,19,27,3,2013,2,2.2602424115894686
9.3,17,5,6,2009,4,2.0675400327352667
3.5,17,8,12,2014,0,0.45342941437766854
11.7,9,3,3,2009,1,5.197538172655344
7.3,12,12,9,2011,0,2.0505315974301777
5.5,8,27,11,2013,2,0.7906347181081059
15.0,23,10,3,2014,0,5.63316306069262
6.5,23,20,3,2014,3,1.734505700406401
9.3,17,14,8,2009,4,2.931060610549602
6.5,13,5,4,2012,3,1.6967604122557916
5.0,0,21,5,2013,1,0.8182441501100243
13.5,16,18,6,2013,1,1.5582523457759838
6.5,9,25,8,2009,1,1.9977614043891387
5.7,17,11,2,2009,2,1.8739566546424533
4.5,19,24,7,2013,2,0.7442506503722222
7.7,11,25,8,2011,3,2.2216603519112983
5.7,12,25,8,2011,3,1.2482501424122818
7.7,6,31,1,2009,5,2.7076926416057137
10.0,20,18,12,2012,1,2.1568112790001175
6.9,22,3,4,2009,4,2.0354083847706663
7.3,7,2,6,2009,1,1.6792856524009698
4.5,17,25,1,2014,5,0.7726426406469338
8.9,17,30,3,2012,4,2.7947443223750907
6.5,17,4,8,2014,0,1.4989294210118413
6.5,10,8,4,2015,2,1.1375988822010292
10.5,7,12,12,2012,2,1.7686291334721211
16.0,21,31,8,2013,5,4.043071033080517
15.5,12,24,3,2014,0,4.253127094031595
11.7,5,11,9,2011,6,5.328322363392867
11.7,17,1,9,2010,2,4.279494526890074
6.1,16,27,11,2011,6,2.43091565174668
10.1,7,5,8,2011,4,4.960569662597963
12.5,22,4,10,2014,5,3.1526686499520546
3.5,6,6,3,2014,3,0.8871521611754198
6.1,11,19,2,2011,5,2.10211587675584
4.5,11,3,2,2013,6,0.7016698700742616
12.5,9,4,9,2013,2,3.6039193130039298
8.5,19,14,4,2012,5,1.775261526382531
8.5,17,8,8,2011,0,2.89245131971456
4.0,23,18,4,2014,4,0.7123572549245488
3.3,2,16,2,2012,3,0.632957880477363
15.7,17,27,10,2011,3,5.464879118140518
8.9,11,22,4,2009,2,1.7724877472027616
4.5,13,27,12,2011,1,0.8480492200983404
5.7,22,30,12,2009,2,1.3814745152438495
10.5,19,4,1,2013,4,2.0037820640629116
10.0,14,5,5,2015,1,2.8051924619691526
9.3,8,1,7,2010,3,1.2784689003918648
